skill1,skill2,count
accounts reconciliation,organizational skills,1
accounts reconciliation,leadership,1
accounts reconciliation,internal controls,1
accounts reconciliation,independence,1
accounts reconciliation,forecasting,1
accounts reconciliation,financial statements analysis,1
accounts reconciliation,financial reporting,1
accounts reconciliation,financial analysis,1
budgeting,trustworthiness,1
cash flow forecasting,communication,1
cash flow forecasting,contract management,1
cash flow forecasting,project management,1
contract management,proactivity,1
contract management,internal controls,1
contract management,forecasting,1
contract management,financial statements analysis,1
contract management,financial reporting,1
communication,financial statements analysis,1
cash flow forecasting,trustworthiness,1
cash flow forecasting,teamwork,1
cash flow forecasting,team management,1
cash flow forecasting,problem solving,1
cash flow forecasting,creativity,1
cash flow forecasting,proactivity,1
cash flow forecasting,organizational skills,1
cash flow forecasting,leadership,1
cash flow forecasting,internal controls,1
cash flow forecasting,independence,1
cash flow forecasting,forecasting,1
cash flow forecasting,financial statements analysis,1
cash flow forecasting,financial reporting,1
cash flow forecasting,financial analysis,1
accounts reconciliation,creativity,1
accounts reconciliation,contract management,1
accounts reconciliation,communication,1
netsuite,relationship building,1
programming (python/r),reporting packages,1
programming (python/r),relationship building,1
problem solving,reporting packages,1
problem solving,programming (python/r),1
power bi,reporting packages,1
power bi,relationship building,1
power bi,programming (python/r),1
netsuite,self-motivation,1
netsuite,reporting packages,1
netsuite,programming (python/r),1
programming (python/r),strategic thinking,1
netsuite,power bi,1
leadership,reporting packages,1
leadership,programming (python/r),1
gaap,self-motivation,1
gaap,reporting packages,1
gaap,programming (python/r),1
gaap,power bi,1
financial planning and analysis,teamwork,1
financial planning and analysis,self-motivation,1
programming (python/r),self-motivation,1
programming (python/r),teamwork,1
accounts reconciliation,cash flow forecasting,1
accounting standards,independence,1
accounts reconciliation,budgeting,1
accounts reconciliation,auditing,1
accounting standards,trustworthiness,1
accounting standards,teamwork,1
accounting standards,team management,1
accounting standards,project management,1
accounting standards,proactivity,1
accounting standards,organizational skills,1
accounting standards,internal controls,1
accounting standards,forecasting,1
relationship building,reporting packages,1
accounting standards,financial statements analysis,1
accounting standards,financial analysis,1
accounting standards,contract management,1
accounting standards,cash flow forecasting,1
accounting standards,auditing,1
accounting standards,accounts reconciliation,1
reporting packages,teamwork,1
reporting packages,strategic thinking,1
reporting packages,self-motivation,1
market insights,strategic thinking,1
market insights,problem solving,1
contract management,trustworthiness,1
business excellence,team management,1
collaboration,market insights,1
collaboration,financial performance reporting,1
collaboration,contractual negotiations,1
cma,variance analysis,1
cma,transformation experience,1
cma,team management,1
cma,strategic thinking,1
cma,strategic insights,1
cma,mentorship,1
cma,market insights,1
cma,innovation,1
cma,financial performance reporting,1
cma,financial modeling,1
cma,financial leadership,1
cma,decision-making,1
cma,data visualization,1
cma,cultural awareness,1
cma,contractual negotiations,1
cma,continuous improvement,1
cma,collaboration,1
business excellence,variance analysis,1
collaboration,strategic insights,1
collaboration,transformation experience,1
communication,contractual negotiations,1
continuous improvement,market insights,1
contractual negotiations,financial forecasting,1
contractual negotiations,decision-making,1
contractual negotiations,data visualization,1
contractual negotiations,cultural awareness,1
contractual negotiations,cpa,1
continuous improvement,variance analysis,1
continuous improvement,transformation experience,1
continuous improvement,strategic insights,1
continuous improvement,mba,1
continuous improvement,financial performance reporting,1
communication,financial performance reporting,1
continuous improvement,financial modeling,1
continuous improvement,financial leadership,1
continuous improvement,financial forecasting,1
continuous improvement,decision-making,1
continuous improvement,cpa,1
continuous improvement,contractual negotiations,1
communication,transformation experience,1
communication,strategic insights,1
communication,market insights,1
business excellence,transformation experience,1
business excellence,strategic thinking,1
market insights,mentorship,1
business excellence,strategic insights,1
analytics,mentorship,1
analytics,mba,1
analytics,market insights,1
analytics,innovation,1
analytics,financial performance reporting,1
analytics,financial modeling,1
analytics,financial leadership,1
analytics,financial forecasting,1
analytics,decision-making,1
analytics,data visualization,1
analytics,cultural awareness,1
analytics,cpa,1
analytics,contractual negotiations,1
analytics,continuous improvement,1
analytics,cma,1
analytics,business excellence,1
adaptability,transformation experience,1
adaptability,strategic insights,1
adaptability,market insights,1
adaptability,financial performance reporting,1
adaptability,contractual negotiations,1
analytics,strategic insights,1
analytics,strategic thinking,1
analytics,team management,1
business excellence,financial forecasting,1
business excellence,problem solving,1
business excellence,mentorship,1
business excellence,mba,1
business excellence,market insights,1
business excellence,leadership,1
business excellence,innovation,1
business excellence,financial performance reporting,1
business excellence,financial modeling,1
business excellence,financial leadership,1
business excellence,decision-making,1
analytics,transformation experience,1
business excellence,data visualization,1
business excellence,cultural awareness,1
business excellence,cpa,1
business excellence,contractual negotiations,1
business excellence,continuous improvement,1
business excellence,communication,1
business excellence,collaboration,1
business excellence,cma,1
analytics,variance analysis,1
contractual negotiations,financial leadership,1
contractual negotiations,financial modeling,1
contractual negotiations,financial performance reporting,1
contractual negotiations,innovation,1
financial leadership,variance analysis,1
financial leadership,transformation experience,1
financial leadership,team management,1
financial leadership,strategic insights,1
financial leadership,mentorship,1
financial leadership,mba,1
financial leadership,market insights,1
financial leadership,innovation,1
financial leadership,financial performance reporting,1
financial leadership,financial modeling,1
financial forecasting,transformation experience,1
financial forecasting,strategic insights,1
financial forecasting,mentorship,1
financial forecasting,market insights,1
financial forecasting,financial performance reporting,1
financial forecasting,financial leadership,1
decision-making,variance analysis,1
decision-making,transformation experience,1
decision-making,strategic insights,1
decision-making,mentorship,1
decision-making,mba,1
financial modeling,financial performance reporting,1
financial modeling,market insights,1
financial modeling,strategic insights,1
financial performance reporting,variance analysis,1
market insights,mba,1
leadership,transformation experience,1
leadership,strategic insights,1
leadership,market insights,1
innovation,variance analysis,1
innovation,transformation experience,1
innovation,strategic insights,1
innovation,mba,1
innovation,market insights,1
financial performance reporting,transformation experience,1
financial modeling,transformation experience,1
financial performance reporting,team management,1
financial performance reporting,strategic thinking,1
financial performance reporting,strategic insights,1
financial performance reporting,problem solving,1
financial performance reporting,mentorship,1
financial performance reporting,mba,1
financial performance reporting,market insights,1
financial performance reporting,leadership,1
financial performance reporting,innovation,1
decision-making,market insights,1
decision-making,innovation,1
decision-making,financial performance reporting,1
cpa,cultural awareness,1
cultural awareness,data visualization,1
cpa,transformation experience,1
cpa,strategic insights,1
cpa,market insights,1
cpa,innovation,1
cpa,financial performance reporting,1
cpa,financial leadership,1
cpa,decision-making,1
cpa,data visualization,1
contractual negotiations,variance analysis,1
cultural awareness,financial forecasting,1
contractual negotiations,transformation experience,1
contractual negotiations,team management,1
contractual negotiations,strategic thinking,1
contractual negotiations,strategic insights,1
contractual negotiations,problem solving,1
contractual negotiations,mentorship,1
contractual negotiations,mba,1
contractual negotiations,market insights,1
contractual negotiations,leadership,1
cultural awareness,decision-making,1
cultural awareness,financial modeling,1
decision-making,financial modeling,1
data visualization,financial leadership,1
decision-making,financial leadership,1
decision-making,financial forecasting,1
data visualization,variance analysis,1
data visualization,transformation experience,1
data visualization,team management,1
data visualization,strategic insights,1
data visualization,mba,1
data visualization,market insights,1
data visualization,financial performance reporting,1
data visualization,financial forecasting,1
cultural awareness,financial performance reporting,1
data visualization,decision-making,1
cultural awareness,variance analysis,1
cultural awareness,transformation experience,1
cultural awareness,team management,1
cultural awareness,strategic insights,1
cultural awareness,mentorship,1
cultural awareness,mba,1
cultural awareness,market insights,1
cultural awareness,innovation,1
contract management,team management,1
creativity,financial statements analysis,1
advanced degree in finance,collaboration,1
analytical tools development,portfolio management,1
industry research,problem solving,1
industry research,portfolio management,1
financial modeling,stakeholder management,1
financial modeling,industry research,1
data analytics,portfolio management,1
data analytics,industry research,1
communication,industry research,1
capital formation,teamwork,1
capital formation,strategic thinking,1
capital formation,stakeholder management,1
capital formation,reporting,1
capital formation,problem solving,1
capital formation,portfolio management,1
capital formation,industry research,1
capital formation,financial modeling,1
capital formation,data analytics,1
capital formation,communication,1
analytical tools development,teamwork,1
analytical tools development,strategic thinking,1
analytical tools development,stakeholder management,1
analytical tools development,reporting,1
industry research,reporting,1
industry research,stakeholder management,1
industry research,strategic thinking,1
accounting principles,quickbooks,1
analytical mindset,interpersonal skills,1
analytical mindset,financial software,1
analytical mindset,financial reporting,1
analytical mindset,financial planning and analysis (fp&a),1
analytical mindset,facilitation skills,1
analytical mindset,erp systems,1
analytical mindset,data visualization tools,1
analytical mindset,cost analysis,1
analytical mindset,corporate finance,1
accounting principles,inventory management,1
industry research,teamwork,1
accounting principles,financial software,1
accounting principles,financial planning and analysis (fp&a),1
accounting principles,facilitation skills,1
accounting principles,data visualization tools,1
accounting principles,cost analysis,1
accounting principles,corporate finance,1
accounting principles,analytical mindset,1
portfolio management,stakeholder management,1
portfolio management,reporting,1
analytical tools development,problem solving,1
analytical tools development,industry research,1
financial planning,general ledger,1
analytical tools development,financial modeling,1
microsoft powerpoint,motivation to learn,1
microsoft excel,tax,1
microsoft excel,process documentation,1
microsoft excel,motivation to learn,1
journal entries,time management,1
journal entries,tax,1
journal entries,process documentation,1
journal entries,motivation to learn,1
journal entries,microsoft word,1
journal entries,microsoft powerpoint,1
journal entries,microsoft excel,1
general ledger,tax,1
general ledger,process documentation,1
general ledger,motivation to learn,1
general ledger,microsoft word,1
general ledger,microsoft powerpoint,1
general ledger,microsoft excel,1
general ledger,journal entries,1
financial planning,tax,1
financial planning,process documentation,1
financial planning,motivation to learn,1
microsoft powerpoint,process documentation,1
microsoft powerpoint,tax,1
microsoft word,motivation to learn,1
process documentation,tax,1
analytical tools development,data analytics,1
analytical tools development,communication,1
analytical tools development,capital formation,1
adaptability,industry research,1
adaptability,capital formation,1
adaptability,analytical tools development,1
tax,time management,1
tax,teamwork,1
process documentation,time management,1
problem solving,tax,1
microsoft word,process documentation,1
organizational skills,tax,1
organizational skills,process documentation,1
motivation to learn,time management,1
motivation to learn,teamwork,1
motivation to learn,tax,1
motivation to learn,process documentation,1
motivation to learn,problem solving,1
motivation to learn,organizational skills,1
microsoft word,tax,1
analytical mindset,inventory management,1
analytical mindset,kpi reporting,1
analytical mindset,leadership,1
analytical mindset,presentation skills,1
financial planning and analysis (fp&a),presentation skills,1
financial planning and analysis (fp&a),leadership,1
financial planning and analysis (fp&a),kpi reporting,1
financial planning and analysis (fp&a),inventory management,1
financial planning and analysis (fp&a),interpersonal skills,1
financial planning and analysis (fp&a),financial software,1
financial planning and analysis (fp&a),financial reporting,1
financial analysis,financial planning and analysis (fp&a),1
facilitation skills,quickbooks,1
facilitation skills,profitability analysis,1
facilitation skills,kpi reporting,1
facilitation skills,inventory management,1
facilitation skills,financial software,1
facilitation skills,financial planning and analysis (fp&a),1
erp systems,profitability analysis,1
erp systems,kpi reporting,1
erp systems,inventory management,1
erp systems,financial planning and analysis (fp&a),1
erp systems,facilitation skills,1
data visualization tools,quickbooks,1
data visualization tools,project management,1
financial planning and analysis (fp&a),profitability analysis,1
financial planning and analysis (fp&a),project management,1
financial planning and analysis (fp&a),quickbooks,1
kpi reporting,profitability analysis,1
advanced degree in finance,budgeting,1
accounting principles,p&l management,1
accounting principles,fp&a,1
accounting principles,advanced degree in finance,1
profitability analysis,quickbooks,1
profitability analysis,project management,1
presentation skills,profitability analysis,1
leadership,profitability analysis,1
kpi reporting,quickbooks,1
kpi reporting,presentation skills,1
financial software,inventory management,1
inventory management,quickbooks,1
inventory management,profitability analysis,1
inventory management,kpi reporting,1
interpersonal skills,profitability analysis,1
financial software,quickbooks,1
financial software,project management,1
financial software,profitability analysis,1
financial software,presentation skills,1
financial software,kpi reporting,1
data visualization tools,profitability analysis,1
data visualization tools,problem solving,1
data visualization tools,presentation skills,1
corporate finance,data visualization tools,1
corporate finance,kpi reporting,1
corporate finance,inventory management,1
corporate finance,interpersonal skills,1
corporate finance,financial software,1
corporate finance,financial reporting,1
corporate finance,financial planning and analysis (fp&a),1
corporate finance,financial analysis,1
corporate finance,facilitation skills,1
corporate finance,erp systems,1
corporate finance,cost analysis,1
corporate finance,presentation skills,1
communication,data visualization tools,1
collaboration,profitability analysis,1
collaboration,data visualization tools,1
collaboration,corporate finance,1
budgeting,profitability analysis,1
budgeting,data visualization tools,1
budgeting,corporate finance,1
analytical mindset,quickbooks,1
analytical mindset,profitability analysis,1
corporate finance,leadership,1
corporate finance,profitability analysis,1
data visualization tools,leadership,1
cost analysis,quickbooks,1
data visualization tools,kpi reporting,1
data visualization tools,inventory management,1
data visualization tools,interpersonal skills,1
data visualization tools,financial software,1
data visualization tools,financial reporting,1
data visualization tools,financial planning and analysis (fp&a),1
data visualization tools,financial analysis,1
data visualization tools,facilitation skills,1
data visualization tools,erp systems,1
cost analysis,profitability analysis,1
corporate finance,project management,1
cost analysis,presentation skills,1
cost analysis,kpi reporting,1
cost analysis,inventory management,1
cost analysis,financial software,1
cost analysis,financial planning and analysis (fp&a),1
cost analysis,facilitation skills,1
cost analysis,erp systems,1
cost analysis,data visualization tools,1
corporate finance,quickbooks,1
financial planning,journal entries,1
finance,tax,1
creativity,team management,1
budget control,financial modeling,1
data visualization,quantitative analysis,1
data visualization,powerpoint,1
data visualization,learning agility,1
data visualization,kpi delivery,1
data visualization,initiative,1
data visualization,financial statement analysis,1
data visualization,excel,1
critical thinking,quantitative analysis,1
critical thinking,learning agility,1
critical thinking,kpi delivery,1
critical thinking,financial statement analysis,1
communication,kpi delivery,1
budget control,team collaboration,1
budget control,self-starter,1
budget control,relationship building,1
budget control,quantitative analysis,1
budget control,project management,1
budget control,learning agility,1
budget control,kpi delivery,1
budget control,initiative,1
budget control,financial statement analysis,1
data visualization,self-starter,1
data visualization,team collaboration,1
excel,financial statement analysis,1
financial statement analysis,learning agility,1
initiative,quantitative analysis,1
initiative,learning agility,1
initiative,kpi delivery,1
financial statement analysis,team collaboration,1
financial statement analysis,self-starter,1
financial statement analysis,relationship building,1
financial statement analysis,quantitative analysis,1
financial statement analysis,project management,1
financial statement analysis,powerpoint,1
financial statement analysis,kpi delivery,1
excel,kpi delivery,1
financial statement analysis,initiative,1
financial reporting,learning agility,1
financial reporting,kpi delivery,1
financial modeling,learning agility,1
financial modeling,kpi delivery,1
financial analysis,quantitative analysis,1
financial analysis,learning agility,1
financial analysis,kpi delivery,1
excel,quantitative analysis,1
budget control,financial reporting,1
budget control,financial analysis,1
finance,process documentation,1
budget control,excel,1
proactivity,trustworthiness,1
internal controls,proactivity,1
independence,trustworthiness,1
independence,proactivity,1
independence,internal controls,1
forecasting,trustworthiness,1
financial statements analysis,trustworthiness,1
financial statements analysis,teamwork,1
financial statements analysis,team management,1
financial statements analysis,project management,1
financial statements analysis,problem solving,1
financial statements analysis,proactivity,1
financial statements analysis,organizational skills,1
financial statements analysis,leadership,1
financial statements analysis,internal controls,1
financial statements analysis,independence,1
financial statements analysis,forecasting,1
financial reporting,trustworthiness,1
financial reporting,financial statements analysis,1
financial analysis,financial statements analysis,1
creativity,trustworthiness,1
analytical problem-solving,attention to detail,1
analytical problem-solving,budget control,1
analytical problem-solving,communication,1
analytical problem-solving,project management,1
budget control,data visualization,1
budget control,critical thinking,1
attention to detail,learning agility,1
attention to detail,kpi delivery,1
attention to detail,data visualization,1
analytical problem-solving,team collaboration,1
analytical problem-solving,self-starter,1
analytical problem-solving,relationship building,1
analytical problem-solving,quantitative analysis,1
analytical problem-solving,powerpoint,1
analytical problem-solving,critical thinking,1
analytical problem-solving,learning agility,1
analytical problem-solving,kpi delivery,1
analytical problem-solving,initiative,1
analytical problem-solving,financial statement analysis,1
analytical problem-solving,financial reporting,1
analytical problem-solving,financial modeling,1
analytical problem-solving,financial analysis,1
analytical problem-solving,excel,1
analytical problem-solving,data visualization,1
kpi delivery,learning agility,1
kpi delivery,powerpoint,1
kpi delivery,project management,1
kpi delivery,quantitative analysis,1
collections,general ledger,1
collections,financial planning,1
collections,finance,1
collections,data analysis,1
attention to detail,tax,1
attention to detail,process documentation,1
attention to detail,motivation to learn,1
attention to detail,collections,1
accruals,time management,1
accruals,teamwork,1
accruals,tax,1
accruals,process documentation,1
accruals,problem solving,1
accruals,organizational skills,1
accruals,motivation to learn,1
accruals,microsoft word,1
accruals,microsoft powerpoint,1
accruals,microsoft excel,1
accruals,journal entries,1
accruals,general ledger,1
accruals,financial planning,1
collections,journal entries,1
collections,microsoft excel,1
collections,microsoft powerpoint,1
customer service,process documentation,1
finance,motivation to learn,1
finance,journal entries,1
finance,general ledger,1
finance,financial planning,1
data analysis,tax,1
data analysis,process documentation,1
data analysis,motivation to learn,1
data analysis,journal entries,1
customer service,tax,1
customer service,motivation to learn,1
collections,microsoft word,1
customer service,journal entries,1
customer service,financial planning,1
communication,tax,1
communication,motivation to learn,1
collections,time management,1
collections,tax,1
collections,process documentation,1
collections,organizational skills,1
collections,motivation to learn,1
accruals,finance,1
accruals,customer service,1
accruals,collections,1
quantitative analysis,self-starter,1
account reconciliations,financial planning,1
account reconciliations,finance,1
account reconciliations,data analysis,1
account reconciliations,customer service,1
account reconciliations,collections,1
account reconciliations,accruals,1
account reconciliations,accounts payable,1
account reconciliations,accounting,1
quantitative analysis,team collaboration,1
quantitative analysis,relationship building,1
account reconciliations,microsoft excel,1
project management,quantitative analysis,1
powerpoint,quantitative analysis,1
learning agility,self-starter,1
learning agility,quantitative analysis,1
learning agility,project management,1
learning agility,powerpoint,1
kpi delivery,team collaboration,1
kpi delivery,self-starter,1
kpi delivery,relationship building,1
account reconciliations,general ledger,1
account reconciliations,microsoft powerpoint,1
accruals,attention to detail,1
accounting,process documentation,1
accounts payable,tax,1
accounts payable,process documentation,1
accounts payable,motivation to learn,1
accounts payable,microsoft word,1
accounts payable,microsoft powerpoint,1
accounts payable,journal entries,1
accounts payable,collections,1
accounts payable,accruals,1
accounting,tax,1
accounting,motivation to learn,1
account reconciliations,microsoft word,1
accounting,general ledger,1
accounting,collections,1
accounting,accruals,1
account reconciliations,time management,1
account reconciliations,teamwork,1
account reconciliations,tax,1
account reconciliations,process documentation,1
account reconciliations,problem solving,1
account reconciliations,motivation to learn,1
leadership potential,problem solving,1
leadership potential,reporting metrics analysis,1
leadership potential,team player,1
leadership,sap analytics cloud (sac),1
sap analytics cloud (sac),team building,1
sap analytics cloud (sac),self-motivation,1
process improvement,sap analytics cloud (sac),1
problem solving,sap analytics cloud (sac),1
predictive modeling,team building,1
predictive modeling,self-motivation,1
predictive modeling,sap analytics cloud (sac),1
predictive modeling,process improvement,1
power bi,team building,1
power bi,sap analytics cloud (sac),1
power bi,predictive modeling,1
organizational skills,sap analytics cloud (sac),1
organizational skills,predictive modeling,1
oracle,team building,1
oracle,self-motivation,1
oracle,sap analytics cloud (sac),1
oracle,process improvement,1
oracle,predictive modeling,1
oracle,power bi,1
ms excel,team building,1
ms excel,sap analytics cloud (sac),1
accounting standards,analytical thinking,1
accounting standards,approachability,1
accounting standards,assertiveness,1
accounting standards,team collaboration,1
approachability,cpa or cma accreditation,1
approachability,budgeting,1
approachability,assertiveness,1
analytical thinking,sales tax compliance,1
analytical thinking,sage (accounting erp),1
analytical thinking,management reporting,1
analytical thinking,cpa or cma accreditation,1
analytical thinking,assertiveness,1
analytical thinking,approachability,1
accounting standards,salesforce,1
accounting standards,cpa or cma accreditation,1
accounting standards,sales tax compliance,1
accounting standards,sage (accounting erp),1
accounting standards,presentation skills,1
accounting standards,powerpoint,1
accounting standards,mentoring,1
accounting standards,management reporting,1
accounting standards,inventory management,1
accounting standards,excel,1
accounting standards,data analysis,1
ms excel,predictive modeling,1
leadership,predictive modeling,1
customer focus,predictive modeling,1
initiative,sap analytics cloud (sac),1
financial reporting,sap analytics cloud (sac),1
financial reporting,predictive modeling,1
financial reporting,oracle,1
financial reporting,hfm/cmr,1
financial planning & analysis,team building,1
financial planning & analysis,sap analytics cloud (sac),1
financial planning & analysis,process improvement,1
financial planning & analysis,predictive modeling,1
financial planning & analysis,organizational skills,1
financial planning & analysis,oracle,1
financial planning & analysis,ms excel,1
financial planning & analysis,hfm/cmr,1
financial planning & analysis,forecasting,1
financial planning & analysis,flexibility,1
financial planning & analysis,financial reporting,1
data management,sap analytics cloud (sac),1
data management,predictive modeling,1
data management,oracle,1
data management,hfm/cmr,1
data management,financial planning & analysis,1
customer focus,sap analytics cloud (sac),1
financial reporting,team building,1
flexibility,hfm/cmr,1
flexibility,oracle,1
hfm/cmr,organizational skills,1
initiative,predictive modeling,1
initiative,oracle,1
hfm/cmr,team building,1
hfm/cmr,self-motivation,1
hfm/cmr,sap analytics cloud (sac),1
hfm/cmr,process improvement,1
hfm/cmr,problem solving,1
hfm/cmr,predictive modeling,1
hfm/cmr,power bi,1
hfm/cmr,oracle,1
flexibility,power bi,1
hfm/cmr,ms excel,1
hfm/cmr,leadership,1
hfm/cmr,initiative,1
forecasting,team building,1
forecasting,sap analytics cloud (sac),1
forecasting,predictive modeling,1
forecasting,hfm/cmr,1
flexibility,sap analytics cloud (sac),1
flexibility,predictive modeling,1
approachability,excel,1
approachability,financial reporting,1
approachability,inventory management,1
approachability,management reporting,1
powerpoint,sage (accounting erp),1
mentoring,salesforce,1
mentoring,sales tax compliance,1
mentoring,sage (accounting erp),1
management reporting,team collaboration,1
management reporting,salesforce,1
management reporting,sales tax compliance,1
management reporting,sage (accounting erp),1
management reporting,problem solving,1
management reporting,presentation skills,1
management reporting,powerpoint,1
management reporting,mentoring,1
leadership,sales tax compliance,1
leadership,sage (accounting erp),1
leadership,management reporting,1
inventory management,salesforce,1
inventory management,sales tax compliance,1
inventory management,sage (accounting erp),1
inventory management,management reporting,1
financial reporting,sales tax compliance,1
financial reporting,sage (accounting erp),1
powerpoint,sales tax compliance,1
presentation skills,sage (accounting erp),1
presentation skills,sales tax compliance,1
adaptability,workday adaptive insights,1
financial analysis,self-starter mentality,1
financial analysis,inclusiveness,1
financial analysis,google sheets,1
financial analysis,fp&a epm platforms,1
communication,workday adaptive insights,1
communication,self-starter mentality,1
communication,inclusiveness,1
communication,google sheets,1
communication,fp&a epm platforms,1
adaptability,self-starter mentality,1
problem solving,sage (accounting erp),1
adaptability,inclusiveness,1
adaptability,google sheets,1
adaptability,fp&a epm platforms,1
sales tax compliance,team collaboration,1
sales tax compliance,salesforce,1
sage (accounting erp),team collaboration,1
sage (accounting erp),salesforce,1
sage (accounting erp),sales tax compliance,1
problem solving,sales tax compliance,1
financial reporting,management reporting,1
excel,sales tax compliance,1
excel,sage (accounting erp),1
assertiveness,inventory management,1
communication,cpa or cma accreditation,1
budgeting,sales tax compliance,1
budgeting,sage (accounting erp),1
budgeting,management reporting,1
budgeting,cpa or cma accreditation,1
assertiveness,team collaboration,1
assertiveness,sales tax compliance,1
assertiveness,sage (accounting erp),1
assertiveness,management reporting,1
assertiveness,financial reporting,1
communication,sage (accounting erp),1
assertiveness,cpa or cma accreditation,1
assertiveness,budgeting,1
approachability,team collaboration,1
approachability,salesforce,1
approachability,sales tax compliance,1
approachability,sage (accounting erp),1
approachability,presentation skills,1
approachability,powerpoint,1
approachability,mentoring,1
communication,management reporting,1
communication,sales tax compliance,1
excel,management reporting,1
cpa or cma accreditation,sage (accounting erp),1
data analysis,sales tax compliance,1
data analysis,sage (accounting erp),1
data analysis,management reporting,1
creativity,sales tax compliance,1
creativity,sage (accounting erp),1
creativity,management reporting,1
cpa or cma accreditation,team collaboration,1
cpa or cma accreditation,salesforce,1
cpa or cma accreditation,sales tax compliance,1
cpa or cma accreditation,problem solving,1
cpa or cma accreditation,creativity,1
cpa or cma accreditation,presentation skills,1
cpa or cma accreditation,powerpoint,1
cpa or cma accreditation,mentoring,1
cpa or cma accreditation,management reporting,1
cpa or cma accreditation,leadership,1
cpa or cma accreditation,inventory management,1
cpa or cma accreditation,financial reporting,1
cpa or cma accreditation,excel,1
cpa or cma accreditation,data analysis,1
customer focus,process improvement,1
customer focus,power bi,1
forecasting,fp&a epm platforms,1
operational efficiency,teamwork,1
analytical thinking,contract pricing negotiation,1
analytical thinking,business intelligence tools,1
adaptability,managed care finance,1
adaptability,m&a integration,1
adaptability,healthcare analytics,1
adaptability,contract pricing negotiation,1
accounting,team development,1
accounting,regulatory reporting,1
accounting,managed care finance,1
accounting,m&a integration,1
accounting,healthcare analytics,1
accounting,cross-functional collaboration,1
accounting,contract pricing negotiation,1
accounting,business intelligence tools,1
skip tracing,training,1
skip tracing,teamwork,1
regulatory compliance,training,1
regulatory compliance,skip tracing,1
record keeping,training,1
record keeping,skip tracing,1
record keeping,regulatory compliance,1
analytical thinking,healthcare analytics,1
analytical thinking,m&a integration,1
analytical thinking,managed care finance,1
business intelligence tools,m&a integration,1
coaching,m&a integration,1
coaching,healthcare analytics,1
coaching,financial forecasting,1
coaching,cross-functional collaboration,1
coaching,contract pricing negotiation,1
business intelligence tools,team development,1
business intelligence tools,stakeholder engagement,1
business intelligence tools,regulatory reporting,1
business intelligence tools,managed care finance,1
business intelligence tools,healthcare analytics,1
analytical thinking,team development,1
business intelligence tools,financial forecasting,1
business intelligence tools,cross-functional collaboration,1
business intelligence tools,contract pricing negotiation,1
business intelligence tools,coaching,1
budgeting,managed care finance,1
budgeting,m&a integration,1
budgeting,healthcare analytics,1
budgeting,cross-functional collaboration,1
budgeting,contract pricing negotiation,1
problem solving,skip tracing,1
operational efficiency,skip tracing,1
customer focus,oracle,1
operational efficiency,regulatory compliance,1
collections,negotiation,1
collections,financial services,1
collections,customer-centric approach,1
administrative tasks,training,1
administrative tasks,skip tracing,1
administrative tasks,regulatory compliance,1
administrative tasks,operational efficiency,1
administrative tasks,negotiation,1
administrative tasks,financial services,1
administrative tasks,customer-centric approach,1
administrative tasks,collections,1
pricing strategy,strategic thinking,1
pricing strategy,project management,1
mba,time management,1
mba,pricing strategy,1
fp&a,time management,1
fp&a,pricing strategy,1
forecasting,pricing strategy,1
finance,pricing strategy,1
finance,mba,1
data analysis,pricing strategy,1
collections,operational efficiency,1
collections,record keeping,1
collections,regulatory compliance,1
customer-centric approach,regulatory compliance,1
operational efficiency,record keeping,1
negotiation,skip tracing,1
negotiation,operational efficiency,1
financial services,training,1
financial services,skip tracing,1
financial services,record keeping,1
financial services,operational efficiency,1
customer-centric approach,training,1
customer-centric approach,skip tracing,1
customer-centric approach,record keeping,1
collections,skip tracing,1
customer-centric approach,problem solving,1
customer-centric approach,operational efficiency,1
customer-centric approach,negotiation,1
customer-centric approach,financial services,1
customer service,skip tracing,1
customer service,operational efficiency,1
customer service,customer-centric approach,1
communication,skip tracing,1
collections,training,1
coaching,managed care finance,1
coaching,regulatory reporting,1
coaching,team development,1
communication,contract pricing negotiation,1
analytics,forecasting,1
analytics,flexibility,1
analytics,financial reporting,1
analytics,financial planning & analysis,1
analytics,data management,1
analytics,customer focus,1
analytics,budgeting,1
stakeholder engagement,team development,1
regulatory reporting,team development,1
regulatory reporting,stakeholder engagement,1
project management,regulatory reporting,1
managed care finance,team development,1
managed care finance,stakeholder engagement,1
managed care finance,regulatory reporting,1
managed care finance,project management,1
managed care finance,problem solving,1
m&a integration,team development,1
m&a integration,stakeholder engagement,1
m&a integration,regulatory reporting,1
m&a integration,project management,1
m&a integration,problem solving,1
analytics,hfm/cmr,1
analytics,initiative,1
analytics,ms excel,1
budgeting,sap analytics cloud (sac),1
customer focus,hfm/cmr,1
customer focus,financial reporting,1
customer focus,financial planning & analysis,1
communication,sap analytics cloud (sac),1
communication,hfm/cmr,1
collaboration,sap analytics cloud (sac),1
collaboration,predictive modeling,1
collaboration,hfm/cmr,1
budgeting,team building,1
budgeting,predictive modeling,1
analytics,oracle,1
budgeting,hfm/cmr,1
budgeting,financial planning & analysis,1
budgeting,customer focus,1
analytics,team building,1
analytics,self-motivation,1
analytics,sap analytics cloud (sac),1
analytics,process improvement,1
analytics,predictive modeling,1
analytics,power bi,1
m&a integration,managed care finance,1
leadership,managed care finance,1
leadership,m&a integration,1
contract pricing negotiation,m&a integration,1
cross-functional collaboration,m&a integration,1
cross-functional collaboration,healthcare analytics,1
